Changed database context to 'DB_AI'.
TABLE_CATALOG TABLE_SCHEMA TABLE_NAME COLUMN_NAME ORDINAL_POSITION COLUMN_DEFAULT IS_NULLABLE DATA_TYPE CHARACTER_MAXIMUM_LENGTH CHARACTER_OCTET_LENGTH NUMERIC_PRECISION NUMERIC_PRECISION_RADIX NUMERIC_SCALE DATETIME_PRECISION CHARACTER_SET_CATALOG CHARACTER_SET_SCHEMA CHARACTER_SET_NAME COLLATION_CATALOG COLLATION_SCHEMA COLLATION_NAME DOMAIN_CATALOG DOMAIN_SCHEMA DOMAIN_NAME
------------- ------------ ---------- ----------- ---------------- -------------- ----------- --------- ------------------------ ---------------------- ----------------- ----------------------- ------------- ------------------ --------------------- -------------------- ------------------ ----------------- ---------------- -------------- -------------- ------------- -----------
DB_AI dbo RECORD id 1 NULL NO int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD FILE_PATH 2 NULL YES nvarchar 50 100 NULL NULL NULL NULL NULL NULL UNICODE NULL NULL SQL_Latin1_General_CP1_CI_AS NULL NULL NULL
DB_AI dbo RECORD TEST_ID 3 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD STATION 4 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD TYPE 5 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_1 6 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_2 7 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_3 8 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_4 9 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_5 10 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_6 11 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_7 12 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_8 13 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_9 14 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_10 15 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_11 16 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_12 17 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_13 18 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_14 19 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_15 20 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_16 21 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_17 22 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_18 23 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_19 24 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_20 25 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_21 26 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_22 27 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_23 28 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_24 29 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_25 30 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_26 31 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_27 32 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_28 33 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_29 34 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_30 35 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_31 36 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_32 37 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_33 38 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_34 39 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_35 40 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_36 41 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_37 42 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_38 43 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_39 44 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_40 45 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_41 46 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_42 47 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_43 48 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_44 49 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD Event_45 50 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD TEST_SCORE_10 51 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo RECORD datetime 52 NULL YES datetime NULL NULL NULL NULL NULL 3 NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER id 1 NULL NO int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER TEST_ID 2 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER TYPE 3 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER STATION 4 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER COUNT 5 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_1 6 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_2 7 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_3 8 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_4 9 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_5 10 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_6 11 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_7 12 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_8 13 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_9 14 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER ABILITY_10 15 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER TOTAL_SCORE 16 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo MEMBER COURSE_LINK 17 NULL YES nvarchar 50 100 NULL NULL NULL NULL NULL NULL UNICODE NULL NULL SQL_Latin1_General_CP1_CI_AS NULL NULL NULL
DB_AI dbo MEMBER datetime 18 NULL YES datetime NULL NULL NULL NULL NULL 3 NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION id 1 NULL NO int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION STATION 2 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION TYPE 3 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION COUNT 4 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION TYPE_2 5 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION Event_1 6 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION Event_2 7 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION Event_3 8 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION Event_4 9 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo STATION Event_5 10 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
